DepartureDate,DayOfWeek,Month,PredictedPrice
2024-09-01,6,9,421.24595729697927
2024-10-01,1,10,383.57701475787536
2024-11-01,4,11,384.5780576451327
2024-12-01,6,12,346.31999999999977
2025-01-01,2,1,350.09075009643146
2025-02-01,5,2,392.31999999999977
2025-03-01,5,3,355.2127662927351
2025-04-01,1,4,470.51524320642574
2025-05-01,3,5,6695.848860595242
2025-06-01,6,6,4097.079122402596
2025-07-01,1,7,4950.690354711399
2025-08-01,4,8,5057.595777031026
2025-09-01,0,9,415.5457036881045
